,Brand_Family_Desc,region_desc,Gross_Sales,Advertisement_and_discount_cost,Transfer_Price_COGS,Distribution_cost_supply_chain,Distribution_cose_Sales_-_Region
3039,Ballantine'S,MP Chattisgarh Region,0.0,,0.0,,
3040,Ballantine'S,MP Chattisgarh Region,520344.0,127743.0,191792.26,7335.24,146330.39
3041,Ballantine'S,MP Chattisgarh Region,4051728.0,412830.0,1465056.0,45071.9856,1245395.63
3042,Ballantine'S,MP Chattisgarh Region,1490076.0,189000.0,549223.29,21005.46,401878.16
3043,Ballantine'S,MP Chattisgarh Region,1660083.0,177000.0,514351.97,19671.78,488066.319999999
3044,Ballantine'S,MP Chattisgarh Region,365781.0,39000.0,132262.0,4068.9987,115728.839999999
3045,Ballantine'S,MP Chattisgarh Region,675288.0,72000.0,244176.0,7511.9976,210941.969999999
3046,Ballantine'S,MP Chattisgarh Region,0.0,,0.0,,
3047,Ballantine'S,ASS ARP MEG TRI MZR,107045.5,7000.0,56270.0,3334.2,9607.1
3048,Ballantine'S,ASS ARP MEG TRI MZR,0.0,0.0,0.0,,6816.74
3049,Ballantine'S,ASS ARP MEG TRI MZR,0.0,0.0,0.0,,9731.24
3050,Ballantine'S,Jharkhand & Orissa Region,5032941.45,-0.4,2997855.0,145544.9535,194868.0
3051,Ballantine'S,Jharkhand & Orissa Region,0.0,7500.0,0.0,,6542.0
3052,Ballantine'S,Jharkhand & Orissa Region,21395.1799999999,19925.0,9415.2564,360.0936,6475.0
3053,Ballantine'S,Jharkhand & Orissa Region,0.0,,0.0,,
3054,Ballantine'S,Punjab Region,4002068.05,347800.0,2053855.0,121698.3,867.27
3055,Ballantine'S,Punjab Region,186397.689999997,9400.0,95659.0,5668.14,3350.49
3056,Ballantine'S,Punjab Region,1297273.19999999,34194.0,764197.0,41002.9869,1666.66
3057,Ballantine'S,Punjab Region,0.0,,0.0,,
3058,Ballantine'S,Punjab Region,0.0,0.0,0.0,,1250.0
3059,Ballantine'S,Punjab Region,0.0,0.0,0.0,,833.33
3060,Ballantine'S,"Goa, Daman & Gujarat",0.0,75.0,0.0,,0.0
3061,Ballantine'S,"Goa, Daman & Gujarat",0.0,10000.0,0.0,,0.0
3062,Ballantine'S,"Goa, Daman & Gujarat",0.0,,0.0,,
3063,Ballantine'S,"Goa, Daman & Gujarat",10500.0,840.0,4244.0,312.9999,0.0
3064,Ballantine'S,"Goa, Daman & Gujarat",0.0,,0.0,,
3065,Ballantine'S,"Goa, Daman & Gujarat",0.0,,0.0,,
3066,Ballantine'S,"Goa, Daman & Gujarat",0.0,,0.0,,
3067,Ballantine'S,Haryana Region,65371600.6999999,18092819.01,22078204.5,3170490.78,0.0
3068,Ballantine'S,Haryana Region,60896000.0,19207450.0,23545894.0,2743444.1235,0.0
3069,Ballantine'S,Haryana Region,295650.0,246564.0,0.0,3000.78,0.0
3070,Ballantine'S,Jharkhand & Orissa Region,,76657.0,,,64307.06
3071,Ballantine'S,Punjab Region,,0.0,,,33334.0
3072,Ballantine'S,Rajasthan,,-96496.0,,,7809.38
3073,Ballantine'S,Telangana Region,,0.0,,,32.48
3074,Ballantine'S,Telangana Region,,0.0,,,306.5
3075,Ballantine'S,Punjab Region,,0.0,,,16667.0
3076,Ballantine'S,Punjab Region,,0.0,,,33334.0
3077,Ballantine'S,Punjab Region,,0.0,,,33334.0
3078,Ballantine'S,Rajasthan,,0.0,,,-10450.1
3079,Ballantine'S,Telangana Region,,0.0,,,20.89
3080,Ballantine'S,Telangana Region,,0.0,,,133.91
3081,Ballantine'S,Telangana Region,,0.0,,,55.93
3082,Ballantine'S,,,,0.0,,
3083,Ballantine'S,,,,0.0,,
3084,Ballantine'S,,,,0.0,,
3085,Ballantine'S,,,,0.0,,
3086,Ballantine'S,,,,0.0,,
3087,Ballantine'S,,,,0.0,,
3088,Ballantine'S,"Tamil Nadu, Andaman, Pondy, Mahe & Yanam Region",630000.0,228000.0,218170.2,20005.2,3142.0
3089,Ballantine'S,"Tamil Nadu, Andaman, Pondy, Mahe & Yanam Region",10500.0,-358265.0,4244.0,312.9999,2698.0
3090,Ballantine'S,"Tamil Nadu, Andaman, Pondy, Mahe & Yanam Region",139050.0,81594.0,48429.72,3000.78,2979.0
3091,Ballantine'S,"Tamil Nadu, Andaman, Pondy, Mahe & Yanam Region",0.0,0.0,0.0,,2956.0
3092,Ballantine'S,"Tamil Nadu, Andaman, Pondy, Mahe & Yanam Region",0.0,-2259.0,0.0,,2950.0
3093,Ballantine'S,"Tamil Nadu, Andaman, Pondy, Mahe & Yanam Region",0.0,7166.0,0.0,,3054.81
3094,Ballantine'S,ASS ARP MEG TRI MZR,913198.0,33400.0,365755.0,21672.3,25000.0
3095,Ballantine'S,ASS ARP MEG TRI MZR,0.0,9100.0,0.0,,15407.04
3096,Ballantine'S,ASS ARP MEG TRI MZR,0.0,5000.0,0.0,,2083.33
3097,Ballantine'S,,,,0.0,,
3098,Ballantine'S,,,,0.0,,
3099,Ballantine'S,Telangana Region,39074742.9999999,6947570.0,25465650.0,1236349.605,224993.55
3100,Ballantine'S,Telangana Region,0.0,2000.0,0.0,,18.86
3101,Ballantine'S,Telangana Region,0.0,97453.0,0.0,,9846.0
3102,Ballantine'S,Telangana Region,0.0,,0.0,,
3103,Ballantine'S,Telangana Region,0.0,126807.99,0.0,,99.6
3104,Ballantine'S,Telangana Region,0.0,18000.0,0.0,,103.3
3105,Ballantine'S,"Tamil Nadu, Andaman, Pondy, Mahe & Yanam Region",0.0,0.0,0.0,,2950.0
